Date,kWh
2025-01-01,0.131
2025-01-02,0.097
2025-01-03,0.283
2025-01-04,0.147
2025-01-05,0.048
2025-01-06,0.169
2025-01-07,0.154
2025-01-08,0.271
2025-01-09,0.084
2025-01-10,0.360
2025-01-11,0.080
2025-01-12,0.232
2025-01-13,1.041
2025-01-14,0.482
2025-01-15,0.095
2025-01-16,0.097
2025-01-17,0.197
2025-01-18,1.061
2025-01-19,0.807
2025-01-20,0.089
2025-01-21,0.994
2025-01-22,0.346
2025-01-23,0.146
2025-01-24,0.079
2025-01-25,0.077
2025-01-26,0.165
2025-01-27,0.270
2025-01-28,0.813
2025-01-29,0.343
2025-01-30,0.104
2025-01-31,0.466
2025-02-01,1.409
2025-02-02,1.447
2025-02-03,1.393
2025-02-04,0.447
2025-02-05,0.109
2025-02-06,0.232
2025-02-07,0.137
2025-02-08,0.987
2025-02-09,0.398
2025-02-10,0.191
2025-02-11,0.107
2025-02-12,1.147
2025-02-13,0.109
2025-02-14,0.146
2025-02-15,0.257
2025-02-16,1.662
2025-02-17,1.829
2025-02-18,1.810
2025-02-19,1.297
2025-02-20,0.801
2025-02-21,0.689
2025-02-22,0.771
2025-02-23,1.407
2025-02-24,0.239
2025-02-25,1.394
2025-02-26,0.508
2025-02-27,0.734
2025-02-28,0.300
2025-03-01,0.374
2025-03-02,1.870
2025-03-03,1.923
2025-03-04,1.524
2025-03-05,1.917
2025-03-06,1.820
2025-03-07,1.846
2025-03-08,1.880
2025-03-09,1.833
2025-03-10,1.874
2025-03-11,0.533
2025-03-12,0.494
2025-03-13,0.492
2025-03-14,1.212
2025-03-15,1.772
2025-03-16,1.965
2025-03-17,1.259
2025-03-18,2.266
2025-03-19,2.187
2025-03-20,2.071
2025-03-21,2.088
2025-03-22,1.167
2025-03-23,0.603
2025-03-24,1.828
2025-03-25,1.017
2025-03-26,0.432
2025-03-27,2.222
2025-03-28,2.230
2025-03-29,2.078
2025-03-30,0.457
2025-03-31,0.981
2025-04-01,2.166
2025-04-02,1.959
2025-04-03,2.275
2025-04-04,2.239
2025-04-05,2.308
2025-04-06,2.447
2025-04-07,2.415
2025-04-08,2.362
2025-04-09,2.330
2025-04-10,0.482
2025-04-11,2.284
2025-04-12,2.324
2025-04-13,0.320
2025-04-14,1.900
2025-04-15,1.328
2025-04-16,0.292
2025-04-17,0.353
2025-04-18,0.560
2025-04-19,1.912
2025-04-20,2.281
2025-04-21,1.056
2025-04-22,1.051
2025-04-23,1.166
2025-04-24,0.295
2025-04-25,1.211
2025-04-26,2.518
2025-04-27,2.492
2025-04-28,2.511
2025-04-29,2.473
2025-04-30,2.465
2025-05-01,2.478
2025-05-02,2.372
2025-05-03,1.076
2025-05-04,1.025
2025-05-05,1.774
2025-05-06,2.330
2025-05-07,1.849
2025-05-08,2.390
2025-05-09,2.698
2025-05-10,2.630
2025-05-11,2.625
2025-05-12,2.635
2025-05-13,2.650
2025-05-14,2.413
2025-05-15,1.956
2025-05-16,2.678
2025-05-17,1.674
2025-05-18,0.613
2025-05-19,2.549
2025-05-20,2.210
2025-05-21,2.240
2025-05-22,1.420
2025-05-23,1.453
2025-05-24,0.684
2025-05-25,0.561
2025-05-26,1.807
2025-05-27,0.633
2025-05-28,0.898
2025-05-29,1.009
2025-05-30,2.276
2025-05-31,2.124
2025-06-01,0.802
2025-06-02,2.033
2025-06-03,2.395
2025-06-04,2.104
2025-06-05,0.904
2025-06-06,1.375
2025-06-07,0.810
2025-06-08,0.872
2025-06-09,1.763
2025-06-10,0.994
2025-06-11,2.242
2025-06-12,2.681
2025-06-13,2.409
2025-06-14,2.082
2025-06-15,1.172
2025-06-16,2.369
2025-06-17,2.642
2025-06-18,2.187
2025-06-19,2.697
2025-06-20,2.760
2025-06-21,2.654
2025-06-22,2.621
2025-06-23,1.050
2025-06-24,1.949
2025-06-25,2.600
2025-06-26,1.265
2025-06-27,1.428
2025-06-28,2.305
2025-06-29,2.601
2025-06-30,2.620
2025-07-01,2.622
2025-07-02,2.385
2025-07-03,2.145
2025-07-04,2.738
2025-07-05,2.133
2025-07-06,0.382
2025-07-07,0.876
2025-07-08,1.578
2025-07-09,1.029
2025-07-10,2.572
2025-07-11,1.049
2025-07-12,1.704
2025-07-13,1.120
2025-07-14,1.075
2025-07-15,2.319
2025-07-16,0.768
2025-07-17,1.637
